module,number of nodes,tasks per node,iteration,mode,model,seed,person count,item count,iterations,burnin,batch size,mean,variance,unif,size,time in seconds,a correlation,g correlation,th correlation
openmpi,1,1,1,cuda,2pno,1493659,500,20,10000,5000,10,0,1,1,1,1.191,0.961449,0.994618,0.852644
openmpi,1,1,2,cuda,2pno,1493659,500,20,10000,5000,10,0,1,1,1,1.064,0.961449,0.994618,0.852644
openmpi,1,1,3,cuda,2pno,1493659,500,20,10000,5000,10,0,1,1,1,1.052,0.961449,0.994618,0.852644
openmpi,1,1,1,cuda,2pno,1493659,500,50,10000,5000,10,0,1,1,1,1.066,0.981797,0.995404,0.934034
openmpi,1,1,2,cuda,2pno,1493659,500,50,10000,5000,10,0,1,1,1,1.067,0.981797,0.995404,0.934034
openmpi,1,1,3,cuda,2pno,1493659,500,50,10000,5000,10,0,1,1,1,1.109,0.981797,0.995404,0.934034
openmpi,1,1,1,cuda,2pno,1493659,500,100,10000,5000,10,0,1,1,1,1.142,0.964868,0.992949,0.967222
openmpi,1,1,2,cuda,2pno,1493659,500,100,10000,5000,10,0,1,1,1,1.136,0.964868,0.992949,0.967222
openmpi,1,1,3,cuda,2pno,1493659,500,100,10000,5000,10,0,1,1,1,1.176,0.964868,0.992949,0.967222
openmpi,1,1,1,cuda,2pno,1493659,500,200,10000,5000,10,0,1,1,1,1.355,0.975765,0.994858,0.985769
openmpi,1,2,1,cuda-aware mpi,2pno,1493659,500,20,10000,5000,10,0,1,1,2,1.91,0.961372,0.994534,0.852685
openmpi,1,2,2,cuda-aware mpi,2pno,1493659,500,20,10000,5000,10,0,1,1,2,1.182,0.961379,0.994534,0.852685
openmpi,1,2,3,cuda-aware mpi,2pno,1493659,500,20,10000,5000,10,0,1,1,2,1.185,0.961372,0.994534,0.852685
openmpi,1,2,1,cuda-aware mpi,2pno,1493659,500,50,10000,5000,10,0,1,1,2,1.224,0.981768,0.995352,0.93393
openmpi,1,2,2,cuda-aware mpi,2pno,1493659,500,50,10000,5000,10,0,1,1,2,1.219,0.981768,0.995352,0.93393
openmpi,1,2,3,cuda-aware mpi,2pno,1493659,500,50,10000,5000,10,0,1,1,2,1.219,0.981768,0.995352,0.93393
openmpi,1,2,1,cuda-aware mpi,2pno,1493659,500,100,10000,5000,10,0,1,1,2,1.34,0.964142,0.993011,0.967272
openmpi,1,2,2,cuda-aware mpi,2pno,1493659,500,100,10000,5000,10,0,1,1,2,1.344,0.964142,0.993011,0.967272
openmpi,1,2,3,cuda-aware mpi,2pno,1493659,500,100,10000,5000,10,0,1,1,2,1.348,0.964142,0.993011,0.967272
openmpi,1,2,1,cuda-aware mpi,2pno,1493659,500,200,10000,5000,10,0,1,1,2,1.581,0.975811,0.994903,0.985668
openmpi,1,4,1,cuda-aware mpi,2pno,1493659,500,20,10000,5000,10,0,1,1,4,2.016,0.961175,0.994466,0.852742
openmpi,1,4,2,cuda-aware mpi,2pno,1493659,500,20,10000,5000,10,0,1,1,4,1.334,0.961175,0.994466,0.852742
openmpi,1,4,3,cuda-aware mpi,2pno,1493659,500,20,10000,5000,10,0,1,1,4,1.337,0.961175,0.994466,0.852742
openmpi,1,4,1,cuda-aware mpi,2pno,1493659,500,50,10000,5000,10,0,1,1,4,1.377,0.981894,0.995311,0.933731
openmpi,1,4,2,cuda-aware mpi,2pno,1493659,500,50,10000,5000,10,0,1,1,4,1.375,0.981894,0.995311,0.933731
openmpi,1,4,3,cuda-aware mpi,2pno,1493659,500,50,10000,5000,10,0,1,1,4,1.376,0.981894,0.995311,0.933731
